ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
2016-07-31T23:54:52Z,honestpessy,"iOS 9.3.3 (iPhone7,2)",326466,US,155.68.149.135,unknown,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,Curtain Call: The Hits,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,,,,trackdone,trackdone,false,,false,0,false
2017-08-30T19:10:19Z,honestpessy,"Android OS 7.1.2 API 25 (Google, Pixel)",304,US,174.201.10.140,unknown,Passionate Kisses,Saintseneca,Passionate Kisses,spotify:track:1MPcIXjACQPaKUN6XiCoD0,,,,fwdbtn,backbtn,true,,false,1504120218190,false
2021-03-02T23:53:36Z,honestpessy,"Android OS 10 API 29 (OnePlus, GM1917)",5680,HK,113.28.9.161,unknown,,,,,The Future of WFH and Competing Against the Giant Internet Platforms,After Hours,spotify:episode:5V4w6cvZKR9EncJ2MUFhCK,clickrow,logout,false,,false,1614697075248,false
2021-09-28T09:16:51Z,honestpessy,"iOS 14.7.1 (iPhone13,1)",89824,HK,45.64.243.95,unknown,Youngblood,5 Seconds of Summer,Youngblood,spotify:track:55S2PQgSMYAhgoTCcGCDfw,,,,trackdone,endplay,true,,false,1632820519905,false
2020-08-15T02:34:00Z,honestpessy,Windows 10 (10.0.18363; x64; AppX),196332,HK,84.17.37.67,unknown,Forever Mine,Andra Day,Cheers to the Fall,spotify:track:5dS4r8s7z5r1LpivqrCP0U,,,,remote,trackdone,true,,false,1597458642509,false
2018-12-06T14:58:32Z,honestpessy,web_player windows 10;chrome 70.0;desktop,263424,ZZ,108.36.78.146,"Mozilla%2F5.0%20(Windows%20NT%2010.0;%20Win64;%20x64)%20AppleWebKit%2F537.36%20(KHTML,%20like%20Gecko)%20Chrome%2F70.0.3538.110%20Safari%2F537.36",Perfect,Ed Sheeran,÷,spotify:track:0tgVpDi06FyKpA1z0VMD4v,,,,trackdone,trackdone,false,,false,0,false
2017-07-14T00:25:07Z,honestpessy,OS X 10.11.6 [x86 4],6922,US,24.193.78.59,unknown,On My Mind,PUBLIC,Sweet Lemonade - EP,spotify:track:2K9F8Vfgnobynbe9FG8nzf,,,,clickrow,endplay,true,,false,1499991888137,false
2018-12-03T13:33:39Z,honestpessy,"Android OS 9 API 28 (Google, Pixel)",13961,US,174.201.7.78,unknown,"Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane & Noname)",Chance the Rapper,Coloring Book,spotify:track:2AgnbuzvnfPvq1sAYNB4pj,,,,trackdone,fwdbtn,true,,false,1543844001115,false
2017-05-22T17:04:52Z,honestpessy,"Android OS 7.1.2 API 25 (Google, Pixel)",193213,US,70.195.213.87,unknown,Single Ladies (Put a Ring on It),Beyoncé,I AM...SASHA FIERCE,spotify:track:2ZBNclC5wm4GtiWaeh0DMx,,,,clickrow,trackdone,true,,false,1495472499397,false
2019-08-05T20:30:26Z,honestpessy,OS X 10.11.6 [x86 4],233536,US,71.225.66.208,unknown,,,,,,,,trackdone,trackdone,false,,false,1565036798800,false
